N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PERROE,토론실
60,SK아이이테크놀로지,"82,900","4,200",+5.34%,"1,000","59,106","71,298",9.30,"631,967",326.38,-1.35,
61,한국타이어앤테크놀로지,"47,300","1,750",+3.84%,500,"58,593","123,875",40.24,"622,800",10.21,8.14,
62,DB손해보험,"81,800",100,-0.12%,500,"57,914","70,800",46.70,"48,580",3.80,16.45,
63,한미반도체,"59,100",700,-1.17%,100,"57,528","97,339",12.32,"484,038",32.24,25.04,
64,LG이노텍,"236,000",0,0.00%,"5,000","55,854","23,667",21.03,"34,108",13.35,25.85,
65,한화솔루션,"32,250",300,-0.92%,"5,000","55,435","171,893",23.51,"174,290",511.90,4.21,
66,KODEX CD금리액티브(합성),"1,019,440",110,+0.01%,0,"54,588","5,355",0.01,"135,873",N/A,N/A,
67,맥쿼리인프라,"12,500",80,+0.64%,0,"54,473","435,781",12.92,"320,936",N/A,N/A,
68,두산로보틱스,"83,400","3,500",+4.38%,500,"54,060","64,820",1.16,"3,019,986",-322.01,N/A,
69,SK바이오사이언스,"69,100",300,+0.44%,500,"53,058","76,784",5.71,"39,400",114.78,N/A,
70,TIGER KOFR금리액티브(합성),"103,625",5,0.00%,0,"51,805","49,993",0.00,"9,586",N/A,N/A,
71,LG생활건강,"327,000","2,500",+0.77%,"5,000","51,072","15,618",30.78,"27,560",38.11,4.41,
72,코스모신소재,"156,600","5,100",-3.15%,"1,000","50,912","32,511",13.98,"122,053",252.99,12.13,
73,삼성엔지니어링,"25,100",150,-0.59%,"5,000","49,196","196,000",50.17,"165,890",5.57,28.32,
74,CJ제일제당,"322,000","6,500",+2.06%,"5,000","48,474","15,054",22.88,"7,349",16.22,9.26,
75,HD현대,"61,300",800,+1.32%,"1,000","48,423","78,993",16.67,"81,552",10.99,20.43,
76,현대제철,"36,000",700,+1.98%,"5,000","48,040","133,446",26.32,"90,737",12.64,5.56,
77,현대오토에버,"174,700","1,100",+0.63%,500,"47,910","27,424",3.43,"66,764",32.26,8.00,
78,넷마블,"55,500","1,500",-2.63%,100,"47,704","85,954",23.30,"64,474",-9.61,-14.56,
79,KODEX KOFR금리액티브(합성),"105,085",5,0.00%,0,"47,657","45,351",0.00,"13,846",N/A,N/A,
80,유한양행,"61,900","1,000",+1.64%,"1,000","47,439","76,639",19.66,"154,018",54.68,4.86,
81,오리온,"116,900","1,700",+1.48%,500,"46,218","39,536",41.61,"12,502",10.81,16.47,
82,한국항공우주,"47,150",900,-1.87%,"5,000","45,960","97,475",26.45,"211,584",63.72,8.78,
83,LG유플러스,"10,410",10,-0.10%,"5,000","45,451","436,611",38.79,"137,791",6.63,8.37,
84,LG디스플레이,"12,380",40,-0.32%,"5,000","44,298","357,816",17.75,"333,409",-0.94,-26.71,
85,두산밥캣,"43,450",0,0.00%,500,"43,558","100,249",40.30,"83,943",4.41,13.78,
86,미래에셋증권,"7,180",0,0.00%,"5,000","43,462","605,316",13.03,"176,978",10.21,6.17,
87,현대건설,"35,550",0,0.00%,"5,000","39,587","111,356",22.69,"111,129",12.18,5.49,
88,코웨이,"53,400","1,700",+3.29%,500,"39,409","73,800",60.93,"79,323",8.84,21.72,
89,현대차2우B,"108,900",500,+0.46%,"5,000","39,335","36,121",61.37,"23,054",2.62,N/A,
90,GS,"41,800",200,-0.48%,"5,000","38,839","92,915",23.25,"18,143",2.87,18.86,
91,한미약품,"307,000",0,0.00%,"2,500","38,566","12,562",16.22,"8,404",29.37,9.89,
92,삼성카드,"32,850",200,+0.61%,"5,000","38,060","115,859",6.16,"35,717",6.39,8.08,
93,한온시스템,"7,020",80,-1.13%,100,"37,473","533,800",16.25,"243,259",49.44,0.89,
94,금호석유,"127,000","1,500",+1.20%,"5,000","36,256","28,548",19.42,"16,217",8.08,19.11,
95,SKC,"95,600",800,+0.84%,"5,000","36,202","37,868",10.61,"76,614",-10.07,-3.67,
96,한진칼,"52,800",200,+0.38%,"2,500","35,250","66,762",17.02,"21,542",14.05,33.64,
97,삼성증권,"38,950",50,+0.13%,"5,000","34,782","89,300",34.53,"44,872",6.15,6.88,
98,NH투자증권,"10,400",100,+0.97%,"5,000","34,493","331,666",15.83,"140,115",6.79,4.32,
99,강원랜드,"15,820",120,+0.76%,500,"33,845","213,940",13.58,"153,771",12.24,3.47,
100,한국금융지주,"60,100",500,+0.84%,"5,000","33,491","55,726",40.08,"26,154",4.63,8.45,
101,현대미포조선,"82,300",200,+0.24%,"5,000","32,872","39,942",24.18,"57,405",-17.97,-2.07,
102,현대로템,"29,400",300,+1.03%,"5,000","32,088","109,142",10.00,"1,491,090",13.48,14.06,
103,F&F,"81,500","1,200",-1.45%,100,"31,220","38,307",13.51,"54,549",6.38,60.40,
